id,bookname,author,publish,originame,translater,ptime,pages,price,zhuangzheng,books,isbn,starts,commentcnt,weburl,bookintro,authorintro
11,简单冥想术：激活你的潜在创造力,无,电子工业出版社,无,无,2014-3,208,35.00,平装,None,9787121224430,8.0,219,https://book.douban.com/subject/25867744/,每天只要拿出10分钟时间，你就能通过冥想放松身心。本书分享的冥想技巧简单易学，却十分有效、便于理解，能随时随地实现。这些强大的冥想技巧的确会产生神奇的功效，让你精神放松，减轻你的压力感和疲倦感，让你进入平和充实的新境界。通过练习，你甚至将体验生命的变化。正念和冥想所带来的好处如今已得到医学界的证实，医生有时也建议患者尝试冥想。安迪将这种古老的方法带入现代社会，对于我们这些大多数时间里都渴望获得健康的人来说，这些技巧可谓量身定做。无论是初学者还是老练的冥想者，本书都会为你提供一个学习和磨练技巧的机会，即如何克服这个快节奏社会盛行的负面情绪。一旦学会，终生受益。,"安迪•普迪科姆（Andy Puddicombe）11岁开始接触冥想，试过很多种冥想方法。二十多岁时，听从内心召唤，他来到亚洲成了一名佛教徒，之后几十年都在寺庙隐修。2004年，他带着简单的梦想回到英国，创办了“头脑空间”这个冥想练习项目。他的目标很简单：使冥想不再如人们所想象的那样神秘、陌生，让它更容易被大众接受，让更多的人从中受益。安迪现在已经是英国保健委员会注册的临床冥想顾问，被《泰晤士报》誉为全英最佳冥想导师。"
12,"聲之形 01",无,東立出版社,聲の形,无,2014-12-3,192,NT$100,平装,聲之形,9789863650089,8.4,596,https://book.douban.com/subject/25868407/,「我曾經很討厭她。」石田將也，一個把「開朗！愉快！大冒險！」當成座右銘的少年。西宮硝子，一個耳朵聽不見的女轉學生。這兩個人的邂逅逐漸改變了教室、學校以及將也的未來──(2014年12月3日上市),"大今 良时（おおいま よしとき、1989年3月15日 - ）、日本漫画家。女性。岐阜县出身。"
13,这样装修不后悔（插图修订版）,姥姥,北京联合出版公司·后浪出版公司,无,无,2014-5,264,60.00元,平装,None,9787550222700,8.5,968,https://book.douban.com/subject/25858712/,2013年度台湾设计类图书销量排行榜第1名中国第一装修门户“土巴兔”推荐最清晰易读、最接地气的装修施工指南不想装修完后还要没完没了地返工？不希望与让人抓狂的施工错误朝夕相处几十年？无数的家装后悔经历告诉我们：真正好住的家绝不只是表面的漂亮而已，一个装修得舒适方便、让人后顾无忧的家，将大大提升未来的居家生活的幸福感。本书选用600多张实拍照片直击施工现场，曝光大量“我很后悔”常见装修失败案例，详细解说你必须要懂的家装原理与正确工法，全面通晓家庭装修的各个步骤：从装修前的准备工作，到拆除、水电、泥瓦、木工、厨卫、油漆等施工环节，以及如何看估价单、抓预算、签合同。用最接地气的现场报道，教你开工不被坑，施工做对事，监工有妙招。省钱又省心，一次搞定家装工程，亲手打造出好看又好住的家。,"姥姥，在网络世界的全名为“天山童姥”，姥姥是简称。看这个封号就知不是善类，动不动就耍流氓，因此平安地在新闻媒体混过十几年。曾任报社家居线记者，并侥幸当上组长。工作的关系，被迫看了上千间房子的室内设计，逛了上百间家具店。因混的日子实在太长，胸口郁闷之事太多，就开始写一些家居装修的吐槽文。有个个人博客，主要是谈“当我们没钱时，如何一步步地塑造自己想要的家”。但所有的理想若没有实践的方法，讲了也是白讲。刚好我知道一些皮毛，希望能协助大家完成你自己的小革命，在预算内，有个真正有人味、贴近自己原型的栖身之所。新浪微博： @姥姥的小院生活"
14,何以中国,许宏,生活·读书·新知三联书店,无,无,2014-3-1,150,"CNY 28.00",平装,None,9787108046154,8.0,578,https://book.douban.com/subject/25850080/,“中国”的称谓从何而来？为什么我们的国家叫做“中国”？在古老而神秘的青铜器何尊上，最早出现了“中国”二字。这一重器于上世纪60年代出土于陕西宝鸡，长达122字的铭文讲述了周武王在灭商之后计划营建东都的重大决策，其中“余其宅兹中国，自之薛（乂）民”，意思是想要建都于天下的中心，在这里统治人民。然而这已经是西周的事情了，其实早在西周王朝建立之前很久远的时间——公元前2000年，在中原地区，最早的中国已经开始展开她广袤而悠长的画卷了。“何以中国”是对最早的中国如何产生的追问，本书为读者展开了一个时间长线，打开了一个扇面，向大家一一讲述始于公元前2000年，中原发生的一系列事件，通过陶寺的兴衰、嵩山地区文化的星罗棋布、新砦遗址的崛起等，最后辐辏到二里头遗址——中国最早广域王权国家的横空出世上来，进而解构中国第一个王朝——夏王朝的诞生。,許宏，中國社會科學院考古研究所研究員、夏商周考古研究室主任，二里頭工作隊隊長。著有《先秦城市考古學研究》、《最早的中國》等。
15,解忧杂货店,[日]东野圭吾,南海出版公司,ナミヤ雑貨店の奇蹟,无,2014-5,291,39.50元,精装,新经典文库·东野圭吾作品,9787544270878,8.6,288085,https://book.douban.com/subject/25862578/,现代人内心流失的东西，这家杂货店能帮你找回——僻静的街道旁有一家杂货店，只要写下烦恼投进卷帘门的投信口，第二天就会在店后的牛奶箱里得到回答。因男友身患绝症，年轻女孩静子在爱情与梦想间徘徊；克郎为了音乐梦想离家漂泊，却在现实中寸步难行；少年浩介面临家庭巨变，挣扎在亲情与未来的迷茫中……他们将困惑写成信投进杂货店，随即奇妙的事情竟不断发生。生命中的一次偶然交会，将如何演绎出截然不同的人生？如今回顾写作过程，我发现自己始终在思考一个问题：站在人生的岔路口，人究竟应该怎么做？我希望读者能在掩卷时喃喃自语：我从未读过这样的小说。——东野圭吾,东野圭吾日本著名作家。1985年，《放学后》获第31届江户川乱步奖，开始专职写作；1999年，《秘密》获第52届日本推理作家协会奖；2005年出版的《嫌疑人X的献身》史无前例地同时获得第134届直木奖、第6届本格推理小说大奖，以及年度三大推理小说排行榜第1名；2008年，《流星之绊》获第43届新风奖；2009年出版的《新参者》获两大推理小说排行榜年度第1名；2012年，《解忧杂货店》获第7届中央公论文艺奖。2014年，《祈りの幕が下りる時》（暂译《祈祷落幕时》）获第48届吉川英治文学奖。
16,幻想图书馆,[日]寺山修司,民主与建设出版社,无,无,2015-1-1,270,35.00,平装,"浦睿文化 寺山修司作品",9787513903516,7.6,2077,https://book.douban.com/subject/25886172/,《幻想图书馆》是日本知名导演、诗人、作家寺山修司集恶趣味与冷知识于一身的代表作。寺山修司他博览群书，畅谈头发的典故、青蛙的趣闻、后宫的传说、拷问的艺术、狼人的故事……从神话、民俗或广告单、画报中引经据典。像是沿着艾柯的阶梯，进入博尔赫斯的图书馆，实践了本雅明未曾实现的理想——写一本完全由引文组成的书。,"寺山修司 （Terayama Shuzi,1935—1983），诗人、小说家、剧作家、导演、赌马评论人。被称为怪杰、幻想家、反叛文化旗手、前卫艺术家。出生于日本青森县，12岁开始发表诗作，17岁组织全国学生俳句会议，19岁获得“短歌研究”新人奖。1960年前后，开始涉足影视编剧和电影导演工作，代表作有《抛掉书本上街去》《上海异人娼馆》《死者田园祭》，因颠覆而前卫的视觉风格而被誉为“银幕诗人”。1967年，创办实验剧团“天井栈敷”，巧妙运用肉体、影像、音乐和诗的语言，革新了小剧场的表演美学。1983年5月，因肝硬化逝世。"
17,只有医生知道！2,张羽,江苏文艺出版社,无,无,2013-11,308,35.00元,平装,只有医生知道,9787539965956,8.5,3847,https://book.douban.com/subject/25747217/,杨澜、梅婷、冯唐、马伊琍、孔二狗、刘春、李小萌、不加v等各界名仕交口赞誉鼎力推荐的百万畅销书《只有医生知道！》，开创西医写作的新风格，寓知识于故事，使科普不再乏味。@协和张羽医生应广大读者要求，诚意奉上该系列第二本，生动讲述只有医生才知道的医学科普知识、求医问药之道。《只有医生知道！2》，精彩讲故事，明白说科普。教大家识别市面上几种妇产科最常见的过度医疗陷阱，告诉大家更多高效备孕、封山育林的妙方好招，用案例阐述不采取避孕措施的危险后果，最生动直观、效果极佳的性教育知识……更多读者最想知道的、普通女性都需要知道的健康知识，尽在《只有医生知道！2》。@协和张羽发给天下女性的又一封关爱私信。,张羽，中国协和医科大学妇科肿瘤学医学博士，北京协和医院妇产科副教授、副主任医师。出版超级畅销书《只有医生知道！》，开创西医写作新风格，寓知识于故事，获得极大反响。长期专注于妇科肿瘤、子宫内膜异位症和子宫腺肌症的临床和基础研究。长期致力于女性慢性盆腔疼痛的患者教育和优生优育的科普工作，为国内数家大型孕产杂志撰写专栏和科普文章，在好大夫在线开设个人网站，利用业余时间长期为患者提供疾病咨询，五年来，访问量达七百余万次。
18,从你的全世界路过,张嘉佳,湖南文艺出版社,无,无,2013-11-1,376,"CNY 39.80",平装,None,9787540458027,7.1,84608,https://book.douban.com/subject/25747921/,"《从你的全世界路过》是微博上最会写故事的人张嘉佳献给你的心动故事。最初以“睡前故事”系列的名义在网上疯狂流传，几天内达到1,500,000 次转发，超4亿次阅读，引来电影投资方的巨资抢购，转瞬便签下其中5个故事的电影版权。每1分钟，都有人在张嘉佳的故事里看到自己。读过睡前故事的人会知道，这是一本纷杂凌乱的书。像朋友在深夜跟你在叙述，叙述他走过的千山万水。那么多篇章，有温暖的，有明亮的，有落单的，有疯狂的，有无聊的，有胡说八道的。当你辗转失眠时，当你需要安慰时，当你等待列车时，当你赖床慵懒时，当你饭后困顿时，应该都能找到一章合适的。我希望写一本书，你可以留在枕边、放进书架，或者送给最重要的那个人。从你的全世界路过，随便打开一篇就可以了。——张嘉佳",张嘉佳，毕业于南京大学，出版小说《几乎成了英雄》《情人书》《刀见笑》。所著《小夫妻天天恶战》《姐姐的故事》等文章也反响巨大。曾任电影《刀见笑》编剧，获2011年金马奖最佳改编剧本提名。《从你的全世界路过》是一本短篇集，即“睡前故事”系列，发表后广为流传，总阅读量超过四亿，2013年引发风暴，成为奇迹。由书中故事改编的电影项目，现已确定拍摄的高达五部。其中名篇《你会不会说话》交给著名导演陈国富、《我希望有个如你一般的人》《暴走萝莉》交给幸福蓝海影业，均在拍摄筹备中。
19,睡不着,Tango,中信出版社,无,无,2014-1-1,252,32.00,平装,None,9787508643304,8.8,4096,https://book.douban.com/subject/25775445/,除了音乐和文字，还有什么能让你感到轻松喜悦，嘴角上扬的？新浪微博红人TANGO三年来夜夜一幅幽默画，陪伴无数睡不着的人度过无眠之夜。源源不断的创意和坚持，让人在看懂之后会心一笑，成为粉丝每晚必看的治愈源泉。轻松、温暖、无厘头的奇思妙想，帮你重新发现藏在每个角落的欢乐。其实，活着可以是一件很有趣的事情。《睡不着》作者系微博漫画红人、深夜治愈大师Tango三年心血之作，万千粉丝每晚必看的欢乐源泉。轻松、温暖、无厘头的奇思妙想，带来无限充满乐趣的想象空间，看懂后你一定能会心一笑，发现藏在每个角落的快乐。成人版《一千零一夜》，都市人解压必需品。,Tango，真名高幼军。沪上广告人，长得像日本漫画，待人像中式屏风，思维像法国小说。自幼习画，数学系毕业，因不耐烦逻辑理性缚人，硕士转攻艺术设计，曾是街头涂鸦客，重智，尚美，爱自由。半生都想逃脱樊笼，其结果不过是自己在理性和感性、情商和智商之间来回错位探戈。新浪微博@tango2010。
20,幸福的婚姻,无,浙江人民出版社,无,无,2014-2,248,49.90元,平装,None,9787213058417,8.4,416,https://book.douban.com/subject/25833051/,《幸福的婚姻》是一本非常实用的婚姻指南，任何夫妻都能从中受益。书中戈特曼博士用大数据还原婚姻关系的真相，并总结出使婚姻免于破裂的7个法则，引导读者创建一桩高情商的、长久的婚姻。在戈特曼的爱情实验室里，通过长达40年的婚姻关系研究、近700对夫妻的共同参与，戈特曼博士在观察和聆听一对夫妻5分钟的谈话后，便能预测他们是否会离婚，且预测准确率高达91%！《幸福的婚姻》畅销全球，曾荣登《纽约时报》畅销书榜榜首，长踞亚马逊同类书榜单前列。作为人际关系领域大师级人物，约翰•戈特曼与他著名的“爱情实验室”成为超级畅销书《Blink》开章经典案例，戈特曼预测离婚的成果成为主流媒体热议话题。,约翰·戈特曼享誉世界的“婚姻教皇”美国华盛顿大学心理学教授，西雅图人际关系研究所所长，从事家庭关系方面研究长达40年，婚姻关系、人际关系研究领域的*专家，被媒体誉为“婚姻教皇”。人际关系领域最杰出的心理学者4次荣获美国心理健康研究院科学研究者奖章，并获美国婚姻与家庭治疗协会杰出科学研究者奖章、美国家庭治疗学会杰出贡献奖、美国心理协会家庭心理学分会会长奖章。
